Date,Open,High,Low,Close,Adj Close,Volume,MktRF,SMB,HML,RF,RMW,CMA,SMB_5,yest_close,stock_return,log_return
2016-05-18,61.700001,64.16999799999999,61.689999,64.040001,57.172466,24007100,0.1,0.1,0.83,0.001,-1.34,-0.65,0.14,55.047691,0.038598803353986265,0.0
2016-05-19,63.529999,64.220001,62.900002,63.389998999999996,56.592175,16076200,-0.33,-0.32,-0.3,0.001,0.39,-0.01,-0.31,57.172466,-0.010149833313119685,-0.010201799223038321
2016-05-20,63.860001000000004,64.190002,63.369999,63.509997999999996,56.699303,11862000,0.75,0.9,-0.3,0.001,-0.39,-0.38,0.84,56.592175,0.001892982554567005,0.001891237803063106
2016-05-23,63.450001,63.869999,63.16,63.459998999999996,56.654667,9347500,-0.18,0.26,-0.32,0.001,-0.21,0.08,0.24,56.699303,-0.0007872407179325822,-0.0007875719266872139
2016-05-24,63.939999,64.769997,63.810001,64.540001,57.618855,13839400,1.43,0.68,-0.34,0.001,-0.1,-0.39,0.61,56.654667,0.017018686209911003,0.016875431720991152
2016-05-25,64.940002,66.199997,64.91999799999999,65.519997,58.493767000000005,18935200,0.72,-0.21,0.57,0.001,0.21,-0.1,-0.13,57.618855,0.01518447390181568,0.015070191639184216
2016-05-26,65.57,65.58000200000001,64.910004,65.029999,58.056301,9428400,-0.04,-0.09,-0.51,0.001,0.17,-0.22,-0.16,58.493767000000005,-0.007478848130947143,-0.007506707253725153
2016-05-27,65.209999,65.459999,65.050003,65.43,58.41341800000001,10116000,0.49,0.33,-0.22,0.001,-0.06,-0.09,0.36,58.056301,0.006151218624831256,0.006132182378105533
2016-05-31,65.730003,65.82,64.959999,65.269997,58.270561,15139400,-0.01,0.5,-0.36,0.001,-0.17,-0.33,0.45,58.41341800000001,-0.002445619600619954,-0.002448402197445354
2016-06-01,64.760002,65.91999799999999,64.260002,65.690002,58.645523,14031000,0.2,0.65,-0.25,0.001,-0.26,0.08,0.64,58.270561,0.006434844517800274,0.006414270666213362
